Ref,Val,Package,PosX,PosY,Rot,Side
"J2","10155679-00011LF","AMPHENOL_10155679-00011LF",164.240000,-34.290000,180.000000,top
"S1","TS15-1212-100-BK-260-SCR-D","TS151212100BK160SCRD",172.900000,-97.100000,0.000000,top
"S2","TS15-1212-100-BK-260-SCR-D","TS151212100BK160SCRD",142.900000,-97.200000,0.000000,top
